Identifier,State,StationName,Longitude,Latitude
73802,AL,Highland_Home_2_S,-86.31,31.92
73803,AL,Talladega_10_NNE,-86.06,33.57
23802,AL,Thomasville_2_S,-87.74,31.88
23801,AL,Troy_2_W,-86,31.79
53155,AZ,Williams_35_NNW,-112.34,35.76
53154,AZ,Yuma_27_ENE,-114.19,32.84
93245,CA,Bodega_6_WSW,-123.07,38.32
53151,CA,Fallbrook_5_NE,-117.19,33.44
53152,CA,Santa_Barbara_11_W,-119.88,34.41
23803,MS,Holly_Springs_4_N,-89.43,34.82
4140,MT,Lewistown_42_WSW,-110.29,46.88
54937,ND,Jamestown_38_WSW,-99.48,46.77
4139,NV,Denio_52_WSW,-119.64,41.85
4141,OR,Coos_Bay_8_SW,-124.32,43.27
23907,TX,Austin_33_NW,-98.08,30.62
26562,AK,Port_Alsworth_1_SW,-154.32,60.2
25630,AK,Sand_Point_1_ENE,-160.47,55.35
73801,AL,Northport_2_S,-87.59,33.21
53159,AZ,Cameron_25_SSE,-111.34,35.5
53170,AZ,Heber_3_SE,-110.57,34.4
3077,AZ,Holbrook_17_ESE,-109.89,34.82
94092,CO,Akron_A_4_E,-103.14,40.16
3084,CO,Center_A_4_SSW,-106.14,37.71
3078,CO,Eads_16_ENE,-102.5,38.54
3076,CO,Grand_Junction_9_W,-108.74,39.1
3089,CO,Rocky_Ford_1_ESE,-103.69,38.04
3079,CO,Saguache_2_WNW,-106.17,38.1
3083,CO,Stratton_24_N,-102.62,39.66
3082,NM,Carrizozo_1_W,-105.89,33.65
53008,NM,Clovis_7_N,-103.17,34.51
3080,NM,Reserve_1_W,-108.78,33.71
3090,NM,Taos_27_NW,-105.97,36.65
3081,UT,Tropic_9_SE,-111.98,37.52
26563,AK,Kenai_29_ENE,-150.45,60.72
26655,AK,Red_Dog_Mine_3_SSW,-162.92,68.03
53168,AZ,Ajo_29_S,-112.8,31.95
53006,AZ,Amado_23_W,-111.45,31.69
3085,AZ,Bowie_23_SSE,-109.39,32.01
53160,AZ,Camp_Verde_3_N,-111.84,34.61
53162,AZ,Coolidge_5_W,-111.53,32.99
53176,AZ,Gila_Bend_3_ENE,-112.67,32.96
53169,AZ,Kayenta_16_WSW,-110.54,36.68
53172,AZ,Lake_Havasu_City_19_SE,-114.13,34.25
53164,AZ,Page_9_WSW,-111.6,36.86
53156,AZ,Phoenix_7_S,-112.08,33.35
53011,AZ,Tsaile_1_SSW,-109.22,36.29
53005,CO,Buena_Vista_2_SSE,-106.12,38.81
53007,CO,Colorado_Springs_23_NW,-105.09,39.09
3099,CO,Craig_30_N,-107.61,40.95
3098,CO,Eagle_13_SSE,-106.73,39.48
3093,CO,Genoa_35_N,-103.52,39.79
3091,CO,Kim_9_WSW,-103.5,37.22
94094,CO,Meeker_15_W,-108.2,40.08
3096,CO,Rifle_23_NW,-108.13,39.76
3086,CO,Springfield_6_WSW,-102.72,37.38
3088,CO,Woodland_Park_14_WSW,-105.26,38.91
53002,NM,Artesia_2_WNW,-104.46,32.85
53017,NM,Aztec_43_E,-107.22,36.75
3094,NM,Clayton_3_ENE,-103.12,36.47
53003,NM,Grants_2_S,-107.83,35.12
53015,NM,Hagerman_10_ESE,-104.16,33.09
3095,NM,Mills_6_WSW,-104.36,36.06
3097,NM,Mountainair_2_WSW,-106.27,34.52
53173,NM,Nageezi_18_SSW,-107.9,36.03
53009,NM,Ramah_9_SE,-108.36,35.05
3092,NM,Raton_26_ESE,-103.98,36.78
3087,NM,Santa_Fe_20_WNW,-106.32,35.82
53163,NM,Socorro_17_WSW,-107.19,33.98
53016,NM,Vaughn_36_SSE,-104.93,34.14
53012,UT,Blanding_26_SSW,-109.61,37.27
53004,UT,Bluff_32_NW,-109.99,37.6
53013,UT,Cedar_City_18_SSE,-113.22,37.46
53165,UT,Delta_4_NE,-112.51,39.39
53014,UT,Mexican_Hat_10_NW,-109.99,37.25
53167,UT,Midway_3_NE,-111.41,40.55
53171,UT,Milford_42_WNW,-113.75,38.59
53010,UT,Monticello_24_NW,-109.62,38.14
4143,UT,Provo_22_E,-111.24,40.28
53166,UT,St__George_15_NE,-113.38,37.22
96404,AK,Tok_70_SE,-141.21,62.74
53183,AZ,Fredonia_7_SSE,-112.45,36.86
53180,AZ,Kingman_8_NE,-113.93,35.26
53184,AZ,Meadview_7_N,-114.04,36.09
53181,AZ,Safford_5_NNE,-109.63,32.86
53019,AZ,Whiteriver_A_1_SW,-109.98,33.82
53022,NM,Elida_14_SW,-103.84,33.81
53025,NM,Hachita_7_ESE,-108.2,31.89
53024,NM,Las_Vegas_6_NE,-105.14,35.66
53026,NM,Pinon_8_SSE,-105.34,32.51
53182,OK,Goodwell_2_SE,-101.61,36.57
37201,SA,Tiksi_4_SSE,128.92,71.59
53185,UT,Beaver_15_E,-112.38,38.27
94097,UT,Grantsville_12_WNW,-112.68,40.64
94098,UT,Manila_18_ESE,-109.39,40.92
53174,UT,Price_3_E,-110.75,39.61
53023,UT,Spanish_Valley_25_SW,-109.85,38.31
94096,UT,Vernal_23_SSE,-109.64,40.13
25380,AK,Gustavus_2_NE,-135.69,58.43
25522,AK,King_Salmon_42_SE,-155.92,58.21
25381,AK,Metlakatla_6_S,-131.59,55.05
56401,AK,Glennallen_64_N,-145.5,63.03
26565,AK,Deadhorse_3_S,-148.46,70.16
26564,AK,Ivotuk_1_NNE,-155.75,68.49
96406,AK,Ruby_44_ESE,-154.13,64.5
96408,AK,Denali_27_N,-150.87,63.45
96407,AK,Selawik_28_E,-159,66.56
25382,AK,Yakutat_3_SSE,-139.68,59.51
54856,OH,Wooster_3_SSE,-81.91,40.76
96405,AK,Cordova_14_ESE,-145.35,60.47
96409,AK,Toolik_Lake_5_ENE,-149.4,68.65
26656,AK,Bethel_87_WNW,-164.08,61.35
23583,AK,Aleknagik_1_NNE,-158.61,59.28
26567,AK,Galena_44_SW,-158.08,64.34
26566,AK,Huslia_27_E,-155.48,65.66
26566,AK,Huslia_27_W,-155.47,65.66
